Text,Label
@USER Which is why it’s awesome that Kavanaugh didn’t shake that gun control dads hand.  Sorry for kid was killed by a gun but it’s not the future judges fault it happened...... omg white people in cities are silly,1
@USER @USER @USER You are as cheap as cheap she is...Try with Bible and Quran if you really have guts,1
@USER yup fooled antifa threw big ol' fire pit rocks at mah truck called the cops said them commies dunnit neat lawyer trick huh URL,1
@USER It doesn’t go far enough. Jr. You are going to jail....treason....,1
"@USER He should be ashamed of himself.  Did Michael Moore start the term on the internet called a troll""?  I think he is an ancient troll that is coming into his age with the liberal hysteria and their guided ignorance.""",1
@USER The washed-out idiot #Biden feels he has a chance by insulting all conservatives who are supporting their great #POTUS...I don’t think so CRAZY JOE!!!,1
@USER Maxine is just a mean spirited woman. I can't imagine the demons she is dealing with to have that much hate &amp; craziness in her. #CrazyMaxine,1
@USER @USER Well they will start banishing all acct's for promoting URL FB gave @USER Brandon a 30 day z-jail time. I'm sure tomorrow Apple/Jacks will do it too. Let's all just do it and see how many conservatives &amp; #WalkAwayMarch er's they shut down.poof FB begone,1
@USER She is among friends...IRA friends. A terrorist loves a terrorist.,1
@USER These people are the worst kind of criminal playing off the emotions of their base fueling hatred in this country with insane rhetoric. Playing constant mind games to cause anger is not helping their cause some liberals are catching on.,1
@USER Poor old Rudy he is as full of shit as a Christmas Goose.,1
@USER @USER Thank you random internet person.    Next time I want shit from you I’ll squeeze your head.,1
@USER Now that’s the pot calling the kettle black! Liberals are nothing but bullies! Antifa-Bullies!!! Trump Haters-Bullies!!!,1
@USER @USER @USER Honestly you people are seriously delusional! It’s a good thing the majority of fans in Ottawa are Educated! Because ppl like you are scary!,1
@USER Liberals are all Kookoo !!!,1
@USER @USER Antifa aren't fascist   They're terrorist,1
@USER #Gutierrez has always been nothing more than a #racebaiter,1
@USER @USER @USER fails to realize he is the party of @USER and Antifa. A complete lack of self awareness. These people are dangerous. #EnemyOfThePeople,1
@USER She is one UGLY and DUMB woman!,1
@USER @USER Hysterical liberals following Don Jr. No facts just liberal mouthpieces.,1
@USER And I will never watch your movies again because you are a maniac!,1
@USER Well that's why BB wins Super it's and you are an overhyped media mouth piece imbecild,1
@USER Bono is an idiot!,1
#cincinatti  well these shootings will keep happening because of your stupid gun laws so its time americans woke up and do something about it because it will keep on happening again and again and not god and prayers are going to help only proper gun control laws will.,1
@USER Fat ass liar strikes again. #NeverForget,1
"@USER @USER That isn't at all plausible. Tories and Labour have access to that building. More Tories have a problem with her than Labour and there are more Tories. It could have been a leftist"" but there are more Tory suspects. You are pretty abusive for someone arguing the left are abusive""",1
@USER @USER @USER @USER @USER @USER @USER Lolololololololo are u kidding me. The ANTIFA shows up at all protest to stop freedom of speech. Open your eyes. Where did the ANTIFA come from democrats the snake party,1
@USER @USER Good Arrest them all!  Arrest the crazy NDP leader @USER as well.  She is Having her lil minions take a fall for her! She planned this! Will she be paying their Legal fees? I think not! The immaturity level of this goverment party is disgusting!!!,1
@USER @USER Great and I’m certainly anti fascist but  the group antifa is the most fascist and violent groups in America in case you hadn’t noticed and associated with the largest hate group in America the democratic party,1
@USER WHAT I SAY ABOUT BEING A LITTLE PUSSY AND SAYING SHIT BEHIND PEOPLE'S BACK,1
@USER #metoo is the BEST WEAPON the Liberals have because there is NO DUE PROCESS .. its all DISGUSTING ... and WOMAN are the ones USING it as the weapon .. shameful and TYPICAL Liberalism .. USE emotions FOR their own BENEFIT ... @USER  POSTER CHILD for USING Woman,1
@USER Fallon is a woosy,1
@USER @USER @USER Now what are you ?? A Liberal ?? Intellectual ?? You are nothing but a Bigot. Shamelessness at its peak.,1
@USER Oh no is he going to start painting hideous pictures like @USER and peddle socialism and gun control for everyone but himself. @USER,1
@USER Your looking more like a plant #maga #walkaway URL,1
@USER @USER @USER Yeah fuck pogba👍,1
@USER @USER @USER @USER @USER Odd. Stating opinions comes with an attack (cunt and assumption of a streamer using boobs for attention.) It was verbal diarrhea from a person who ought to know better.,1
@USER @USER @USER @USER @USER She can’t remember when it happened she can’t remember where it happened she can’t remember how she got there. She is a liar and a feminazi who will go to any lengths to smear this man. She is a LIAR.,1
Don't these PIGS have a job? Don't these SLOBS have a life?  Where is there outrage against  bill clinton keith ellison harvey weinstein THESE PROTESTERS ARE  HYPOCRITES! #MAGA URL,1
@USER She is an ALEC puppet. If they don’t move the string on her back that works her mouth then she does nothing.,1
@USER @USER The left have become a bunch of thugs. #NancyPelosi #chuckschumer,1
@USER Another crazy liberals,1
@USER Fuckin poisonous group of people. As soon as someone hands me a hat with a propeller on top... I'm out.  Find another company to work for lemmings.,1
@USER @USER America is being destroyed by our President.. he is a cancer to democracy. That is what is sad,1
@USER @USER @USER @USER Ben is a terrible person that probably raped some people.  He is a vial human being in my book.    Has nothing to do with his on the field play.  I don’t like him personally.,1
@USER Playing dirty is the only way liberals can win at this point.  They are shameless.,1
@USER omg is he for real ?!?!!??????) this happened in peru like 40 years ago and the Inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i-,1
"@USER PHOOEY! It wasn't about stepping forward"" it was about @USER helping @USER wield a crude sharp axe on the UK's poor and vulnerable. He is a total hypocrite and fraud in a stupid affected style hat.""",1
@USER Hate mongering is No solution for NFL KNEELERS - change up your playbook losers,1
@USER @USER He is treason. He went to Iran for what?  To beg Iran to give them(the treasons) more time to get the power back so they can keep giving tax payers $$ to Iran the terrorists leader.,1
...it will be hard to believe any female accusers...ever again...especially liberals who lie for personal and political gain... URL,1
"@USER Dear Paul McFartney-  You had us at Beatles.  You lost us at President Mad Captain.  Burn in hell-  Jon."" URL",1
"#ChristineBlaseyFord was grinding #Kavanaugh at a party almost 40yrs ago.....You gotta love the age, of this ridiculous #MeToo movement   Just swear #Kavanaugh in already and get this over with, before #liberals have an anxiety attack like 11/8/16 URL",1
@USER @USER fuck you. You are disgusting animals and your editor who approved the “news” is a bag of shit.,1
@USER @USER I want to see this corrupt bitch in Gitmo for her birthday URL,1
@USER @USER If Obama's lips are moving then he is lying.,1
@USER @USER @USER We do know she belongs to the violent liberal Antifa party who w/ their KKK HOODS beat up total strangers &amp; are funded to do so by her party. Most violent &amp; corrupt party trying to now pour on the tears &amp; get us to believe they have a heart. Hard sell to anyone including voters!,1
"Dear Liberal #FakeNewsMedia This gesture you call a white power"" gesture is actually what we NORMAL people call the ""OK"" gesture.  I realize this is not as fun as your make believe ""white power"" name but yeah. That's what it means.  OK ? OK! #WalkAway #MAGA URL",1
"@USER @USER @USER @USER BS made up by a lying liberal..a cheap filthy whore, whose lies help to undermine REAL WOMEN who are sexually assaulted.  But with trashy liberals who cares?"" right? As long as the end can justify the means?  Trashy libs tried same thing with Judge Thomas.  Democrats are sick.""",1
@USER Im not apart of Antifa foxy. I agree with you they are terrorsits,1
@USER He is an egomaniac and doesn’t like to lose so he will spend money for free agency and his drafts are better,1
@USER  god I don’t know how Your didn’t punch Carole at the reunion. She is a smug asshole. I know you are dealing with a lot. I hope you are well.,1
