Text,Label
i blame this anti-white violence on jews ( like tim wise ) . they encourage this .,1
cernovich is a race mixer . he's ruined his white genes . 1000 years of pure genetics down the drain !,1
breivik says zionism / anti-islam was a ruse to prolong the debate & attack #cuckservatives #vdare,1
the white trash continues under . take them down #hoodsoff #opkkk,1
the next thing you'll do is claim i am racist because the mexican race is so despicable .,1
you're human garbage.,1
hard-left jew-hater and jihad enabler .,1
kill isis . kill farooq . kill islam . love america . love jesus .,1
he saw a movie where white people were nice and darkies wanted to kill a midget and now he must make a stand,1
because it offends leftist shitlib sensibilities  white people,1
hang him burn him shoot him then deport him.,1
a better question : since you say muslims hate jews  why are jews behind every movement to flood muslims into white nations ? ?,1
hamas is the only one who lies and all those like hamas . the only gobels are those who believe hamas .,1
he's the definition of white trash .,1
"- take them out back and shoot them, screw that jail time.",1
elin krantz : just another dead white liberal female raped to death by non-white invader #swrm via,1
finns protest against increasing number of non-white invaders | more : via,1
: jews are now in full control : canadian man goes to jail for posting on white nationalist websites,1
we should do something about the dangerous white people first .,1
" rt what ? no protests ? no blaming all their woes on the  "" white cop "" "" ? racist  hypocritical thugs who are useful idiots 4 soros agenda  king is a poser . """,1
#jews making #georgeorwell's 1984 a reality . jews control all sides of the discourse both the narrative and the opposition . #thanksjews,1
what children ! ? white america's shrinking  we the brownies  yellows  blacks & mutts we'll be taking over . repent of your racist sins !,1
barack obama is a racist black man who hates white people.and he is a communist muslim who hates america.and it trickled down for 8 yrs .,1
what kind of sick white person would be sexually attracted to the non-white migrant inv,1
come home  white man . rise up against the jewish agenda . join today . you owe it to your race . you owe it to your children . #heil,1
urban environment is your code for filled with niggers right?,1
1 more whitey down #killwhitey #whitegenocide #nigganetwork #notyourshield,1
the more people google david duke  the more they'll realize he was right about black crime  immigration  and jewish influence over usa .,1
"shoot couple of this sand niggers, they will learn quick!",1
your right ! any are better than islam !,1
warning unprecedented wave of 3rd world illegals inboundtake action w/ #alipac #tcot #pjnet,1
by diversify you mean a plague  reminiscent of the nothing from the never ending story . nieberhoods one by one turning to ghetto slums full of black hoodlums and white homosexuals that teach white guilt and anti cis feminism .. filth,1
another illegal mexican jew black lover,1
can we trade a few busloads of the white southern cucks to get her on team white ?,1
news flash ! that memorial honors non-white people too you retards . if you're gonna be racist  at least be consistent,1
and how were the alt white peaceful when they attacked white leftist american citizens ?,1
fuhrer is coming .,1
europe if you hope to save your white culture and ancestry you had better heed the words of hitler ...,1
john adams was of course talking about all the white trash outside of new england  sorry johnny i don't care about puritans,1
what race are muslims these days ? most of you don't even deserve to b classed as human race you mug,1
cville and the state of virginia are run by shitlibs and cucks as we know  all this wil,1
america is ours - we created it . usa was founded by white nationalists . the rest of you are just visiting .,1
obama is letting isis grow bc he wants refugees all over the white world to do away with white race . wake up libs .,1
muslim who murdered jewish girlfriend says im going to kill every jew . one isnt enough for me .,1
Should have dropped a bomb on Winston Churchill,1
christinas kill  jews kill  hindus too  buddhists too . all against muslims,1
"  "" : obert pencer is a racist "" "" islam is not a "" "" race "" "" it's a sick deviant twisted mind boggling theology by satan """,1
adl dimbulbs freak out over inmate styled clothing : the criminal supremacist jews at the adl and it's gang lea ...,1
so you support gooks infiltrating and polluting the white gene pool ?,1
fliers posted at uc santa barbara blame jews for 9/11 : #israel did 9/11,1
their is no jewish conspiracy their is only white apathy and cowardice .,1
shocker trumps running white interests so jews rally agianst him . careful jews you can't win a race war yet .,1
are a bunch of religious bigots . i hope you experience something similar to what you put gay people through in your own lives.fuck u .,1
of course  cant have him going against jew global agenda of anti white,1
i hate niggers and faggots!!!,1
white genocide is actually cool and good,1
Irl I would smack the shit out of your skank face and you would beg for forgiveness,1
idiotic savages.,1
jewess comedian joan rivers says barack obama is gay and michelle obama a tranny | more :,1
" fyi ... beauty of ur white race .. keep worshipping them ! !  "" : genocide "" "" """,1
it is time for the white people to take america back ! we must stop all the black protests immediately !,1
where was the nfl at when that subhuman piece of trash rae carruth had his girlfriend murdered because he didn't want to pay child support?,1
donald trump  and the fall of america's institutions #cuckservative,1
so jew hating muslim of them  those sneaky jews all 15 milliin vs 1.5 billion of muslimsmuslims always blame the jews .,1
"how has that """"religion"""" not killed itself out yet? barbarians.",1
kill isis,1
idiots. chickens.,1
filthy white trash is all you are . filled with the devil's hate,1
"attack back, but with heavy weapons!",1
"it would be interesting project to join party, then shoot you with small pistol one by one. fun.",1
i hate you white supremacist !,1
some whites are very smart but most are stupid poor white trash like you .,1
oh yea  i forgot ... america was rounding up all the black and brown people and gassing them .,1
" yes   "" exterminate the jews "" "" like this white kid in kansas """,1
hey   the folks at #ows are your worst nightmares : multiculturalist  secular  far-left  gender-queer  egalitarian .,1
"wait you mean like general sherman? yes, now there is a worthless piece of shit yankee vermin trash terrorist.",1
I would think your Sweden cops should be able to use their snipers and shoot those with flaming bombs in their hands. Till you crush the muslims they will never stop. muslims only understand force.,1
may day clash in washington : commie scum attacked white patriots in front of white house ( video ) via,1
i will happily stay at a hotel that hosts act for america who hate muslim terrorists that would kill us,1
white race genocide nonwhites than be genocided,1
I don't need someone to explain to me how the Dems are outright traitors. What I need explained to me is how do we get these fuckers hanged.,1
it could be some jews telling them to . jew trying to get muslims to bomb goys !,1
i'm having a problem with one niger named daryl in pahao hawaii tennessee white knights ... lets have a white out here ! ! !,1
keepin ' it white : how the jews won the west ( 4-15- 15 ) - renegade broadcasting #withjewsyoulose,1
international jew criminal plot afoot 2wipe out white race !,1
lies . jews like really want white goyim to fight iranian goyim so they can kill us both off at the sa,1
"  "" white flight . "" "" nice jew euphemism for us fleeing their invading hordes of non white pets . """,1
sheesh . is there not one sane female ' news ' person on ? they're all stupid  racist bimbos . profiling white men ? good luck with that !,1
don't be stupid ! ! american classic idiot ! ! !,1
"  "" i stand fer the confederacy but i hate you racist white people ! "" "" """,1
"pelosi is not a human being not sure what she is, but human she is not. look at swamp creatures category, ask mulder.",1
" show me just one jew who supports the idea of independent white nations and * maybe * we can talk about  "" good jews "" "" """,1
you inbred incestuous freaks. go to hell!!!!!!!! #dumbtweets #fail #racist,1
i hate hur white aids bitchs head,1
. democrats like for their illegals to kill rich white people . democrats hate rich white people .,1
atlanta is pretty bad  but our blacks are much meaner in st . louis lol . they'll kill you,1
you know what's so funny about that one guy does a white supremacist act but a muslim can kill thousands and we're islamophobia,1
well be that as it may hunter  my jew-dar is screaming loud . i can ferret out these sheenys,1
" a jewish attention-whore homosexual who  "" prefers "" "" congoid men thinks he speaks for the dwindling white race """,1
the hallmark of a #cuckservative is taking pride in debasing yourself,1
