Text,Label
@USER He makes dope ass songs. He’s a singer/writer URL,1
"@USER  Stick to Comedy ... You weren't that funny yo start with, but that political commentary of yours is pathetic !!!",1
#Manitoba - #NDP leader Wab Kinew on the #carbontax URL Are you proud of yourselves @USER and @USER You allow the NDP to come at you from the right? You're all as insane as the #Trudeau #Liberals #Winnipeg #Canada #MBpoli,1
@USER @USER Yes you are. you’re just too blind to realize it,1
"The Dregs of Society""... more LABELINGand DEHUMANIZING Conservatives.I suggest,WE, Conservatives keep OUR ammo dry and OUR guns loaded..If the Fascist Liberal Left THINK Conservatives WILL go quietly into internment camps or slaughtered in the streets they NEED a REALITY check. URL",1
@USER I believe he is one step worse  according to experts- sociopath which is a malignant narcissist,1
@USER It's been up since Sunday night. He is a sloth.,1
@USER @USER Another sheep led to the slaughter the left are eating there own!,1
@USER @USER Holy shit pt 2,1
@USER @USER @USER You think it's just antifa who stands up against fascists? All decent people will. Look through history. The flabby bigots will run with their tails between their legs like that always do.,1
@USER Srsly it sucks. When ur living life it’s full of bullshit rules we just gotta suck up to survive,1
@USER @USER It takes a 2sec Google search to see who this accuser is - I'll help the mindless uneducated liberals . URL,1
@USER 😂 NIGGA hit em wit the o well lowkie,1
@USER BITCH,1
@USER THE DEVIL MADE ME DO IT!!!!! THE UGLY FACE OF LIBERALS! I FEEL SORRY FOR THE INNOCENT HONEST ONES THAT ARE JUST BRAINWASHED!,1
Confirm the MAN! THE LEFT WING ACTIVIST IS A LIAR WHO'S STORY CHANGES! NO HARD EVIDENCE! #ChristineBlaseyFord Innocent until proven guilty! #ConfirmKavanaugh  #MAGA  @USER  #WeakRinos #Republicans,1
@USER Pussy and ass are ✌🏾different times. And I've NEVER in my black life ever ate chittlerings lol,1
@USER @USER she is getting death threats....can you go and be a shield for her so you don’t have to wait?,1
@USER Thank you for proving my point.  You are foulmouthed trash,1
@USER @USER @USER If any left leaning freak attacks me I will attack back. But so many conservatives are just compliant. Happy with just bitching and complaining. How can we fire people up. The left has got energy. Lots of it. And if things don’t change. We’re going to loose.,1
@USER Still better than Spanish it's so fucking boring and the teacher grades us based on how sexually active we are 😒,1
@USER @USER  ERIC HOLDER IS A FILTHY MAGGOT. URL,1
@USER All this tape proves is that @USER was always out to get a paycheck and to sabotage the one person who actually gave her a chance.  Who tape records conversations in the White House??? Only someone looking to sell it later. She’s a snake,1
"@USER Also she's thick as shit despite her posh brainy voice"" on QT when the ""refugee"" crisis was at it's peak,she said they should come in because there may be surgeons &amp; dentists amongst them.Fecking leftie lunatic.#ScruffBag""",1
@USER mad bc you’re hot as fuck and they can’t have you 😭❤️,1
@USER @USER They on their bullshit,1
@USER @USER Latino Conservatives=Self-Hating Freaks,1
@USER Does these idiots actually listen to what they say? @USER Sucks!,1
#MaxineWaters: #Trump ‘Has Displayed the Most Despicable Behavior That Any Human Being Could Do’ URL #MAGA,1
@USER You're full of s***. It's the Liberals paid by Soros who are doing those things,1
@USER Democ Rats are pulling the Anita Hill trick to derail the Judge Kavanaugh confirmation. It will not work! Get over @USER triumph. You communists will not destroy the USA #MAGA,1
@USER @USER @USER please get OFF first take! You yell wayy too much and you seem like you are being a asshole. When you are on set I litterly can't hear anything but screaming. Its obvious @USER dont like you and @USER and @USER was like dude stfu!!,1
@USER fuck,1
@USER Ahh yes we are cause some woman who comes out 30 some years later cant be believed.  Where was this liberal outrage when the guy from Minnesota was accused of beating his wife. Silent on that one libs god you hypocritical liberals make me sick,1
@USER Another lying liberal.. Many lying libtards will be exposed as they  unclassifie documents. The Liberals will lie cheat and steal to try to bring our country down. Stop this anti-American idiotic socialist movement vote Republican in November Trump 2020.,1
@USER I used to do signifing monkey by heart. Played it for the wife and she is like what the hell?,1
